run,year,world,good,price,stock
1,1,Hyperion,energie,36.83,22.32
1,1,Hyperion,luxus,83.51,22.432
1,1,Hyperion,biotech,83.38,24.0
1,1,Hyperion,core_daten,114.67,24.0
1,1,Hyperion,relikte,144.42,24.7168
1,2,Lusus,nahrung,23.19,19.200000000000003
1,2,Lusus,rohstoffe,28.34,32.0
1,2,Lusus,industrieteile,43.56,32.0
1,2,Lusus,energie,36.4,25.6
1,2,Lusus,luxus,80.55,38.647999999999996
1,2,Lusus,biotech,83.1,32.0
1,2,Lusus,core_daten,119.51,36.432
1,2,Lusus,relikte,150.8,32.0
1,2,Tau Ceti,nahrung,20.21,43.224000000000004
1,2,Tau Ceti,rohstoffe,28.04,30.0
1,2,Tau Ceti,industrieteile,45.22,24.4
1,2,Tau Ceti,energie,36.15,24.4
1,2,Tau Ceti,luxus,78.35,30.0
1,2,Tau Ceti,biotech,78.06,33.306
1,2,Tau Ceti,core_daten,107.11,30.0
1,2,Tau Ceti,relikte,136.83,30.0
1,2,Maui-Covenant,nahrung,21.53,30.480000000000004
1,2,Maui-Covenant,rohstoffe,27.13,26.0
1,2,Maui-Covenant,industrieteile,41.38,26.0
1,2,Maui-Covenant,energie,37.57,23.0
1,2,Maui-Covenant,luxus,83.99,24.0
1,2,Maui-Covenant,biotech,77.21,30.927999999999997
1,2,Maui-Covenant,core_daten,112.09,26.0
1,2,Maui-Covenant,relikte,146.39,26.0
1,2,Marsim,nahrung,22.38,23.799999999999997
1,2,Marsim,rohstoffe,31.95,19.0
1,2,Marsim,industrieteile,44.56,41.81
1,2,Marsim,energie,36.36,37.486000000000004
1,2,Marsim,luxus,77.85,31.0
1,2,Marsim,biotech,80.12,31.0
1,2,Marsim,core_daten,118.13,31.0
1,2,Marsim,relikte,153.41,31.0
1,2,Qom-Riyadh,nahrung,20.24,23.200000000000003
1,2,Qom-Riyadh,rohstoffe,27.29,28.0
1,2,Qom-Riyadh,industrieteile,41.26,28.0
1,2,Qom-Riyadh,energie,37.11,23.200000000000003
1,2,Qom-Riyadh,luxus,78.57,30.397999999999996
1,2,Qom-Riyadh,biotech,82.64,28.0
1,2,Qom-Riyadh,core_daten,108.97,37.592
1,2,Qom-Riyadh,relikte,136.01,28.0
1,2,Bressia,nahrung,20.91,20.32
1,2,Bressia,rohstoffe,27.73,31.6496
1,2,Bressia,industrieteile,44.42,21.58
1,2,Bressia,energie,40.76,27.9092
1,2,Bressia,luxus,81.81,25.0
1,2,Bressia,biotech,82.08,25.0
1,2,Bressia,core_daten,115.42,25.0
1,2,Bressia,relikte,150.53,25.0
1,2,Hebron,nahrung,19.37,21.6
1,2,Hebron,rohstoffe,30.67,26.0
1,2,Hebron,industrieteile,45.06,26.0
1,2,Hebron,energie,40.99,22.4
1,2,Hebron,luxus,83.28,28.756
1,2,Hebron,biotech,82.54,22.799999999999997
1,2,Hebron,core_daten,110.63,26.0
1,2,Hebron,relikte,134.39,26.0
1,2,Hyperion,nahrung,21.62,21.119999999999997
1,2,Hyperion,rohstoffe,26.08,26.867199999999997
1,2,Hyperion,industrieteile,39.24,24.0
1,2,Hyperion,energie,36.14,20.64
1,2,Hyperion,luxus,75.46,20.863999999999997
1,2,Hyperion,biotech,79.38,24.0
1,2,Hyperion,core_daten,103.23,24.0
1,2,Hyperion,relikte,131.57,25.4336
1,3,Lusus,nahrung,22.12,12.800000000000002
1,3,Lusus,rohstoffe,26.71,32.0
1,3,Lusus,industrieteile,44.71,32.0
1,3,Lusus,energie,39.33,22.400000000000002
1,3,Lusus,luxus,74.93,41.971999999999994
1,3,Lusus,biotech,78.97,32.0
1,3,Lusus,core_daten,110.16,38.648
1,3,Lusus,relikte,142.31,32.0
1,3,Tau Ceti,nahrung,19.77,49.836000000000006
1,3,Tau Ceti,rohstoffe,29.72,30.0
1,3,Tau Ceti,industrieteile,47.32,21.599999999999998
1,3,Tau Ceti,energie,38.49,21.599999999999998
1,3,Tau Ceti,luxus,78.57,30.0
1,3,Tau Ceti,biotech,77.15,34.958999999999996
1,3,Tau Ceti,core_daten,106.9,30.0
1,3,Tau Ceti,relikte,142.09,30.0
1,3,Maui-Covenant,nahrung,20.18,32.720000000000006
1,3,Maui-Covenant,rohstoffe,29.68,26.0
1,3,Maui-Covenant,industrieteile,40.9,26.0
1,3,Maui-Covenant,energie,35.83,21.5
1,3,Maui-Covenant,luxus,84.91,23.0
1,3,Maui-Covenant,biotech,81.81,33.391999999999996
1,3,Maui-Covenant,core_daten,107.72,26.0
1,3,Maui-Covenant,relikte,146.27,26.0
1,3,Marsim,nahrung,20.14,20.199999999999996
1,3,Marsim,rohstoffe,31.87,13.0
1,3,Marsim,industrieteile,45.15,47.215
1,3,Marsim,energie,39.14,40.729000000000006
1,3,Marsim,luxus,80.68,31.0
1,3,Marsim,biotech,79.1,31.0
1,3,Marsim,core_daten,110.67,31.0
1,3,Marsim,relikte,138.74,31.0
1,3,Qom-Riyadh,nahrung,21.97,20.800000000000004
1,3,Qom-Riyadh,rohstoffe,28.59,28.0
1,3,Qom-Riyadh,industrieteile,44.25,28.0
1,3,Qom-Riyadh,energie,37.72,20.800000000000004
1,3,Qom-Riyadh,luxus,75.9,31.596999999999994
1,3,Qom-Riyadh,biotech,84.96,28.0
1,3,Qom-Riyadh,core_daten,119.24,42.388
1,3,Qom-Riyadh,relikte,151.78,28.0
1,3,Bressia,nahrung,22.55,17.98
1,3,Bressia,rohstoffe,30.16,34.9744
1,3,Bressia,industrieteile,46.02,19.869999999999997
1,3,Bressia,energie,35.52,29.363799999999998
1,3,Bressia,luxus,79.19,25.0
1,3,Bressia,biotech,79.57,25.0
1,3,Bressia,core_daten,102.67,25.0
1,3,Bressia,relikte,132.4,25.0
1,3,Hebron,nahrung,20.34,19.400000000000002
1,3,Hebron,rohstoffe,27.17,26.0
1,3,Hebron,industrieteile,44.34,26.0
1,3,Hebron,energie,41.69,20.599999999999998
1,3,Hebron,luxus,77.93,30.134
1,3,Hebron,biotech,91.65,21.199999999999996
1,3,Hebron,core_daten,123.39,26.0
1,3,Hebron,relikte,158.17,26.0
1,3,Hyperion,nahrung,20.56,19.679999999999996
1,3,Hyperion,rohstoffe,26.94,28.300799999999995
1,3,Hyperion,industrieteile,40.55,24.0
1,3,Hyperion,energie,36.13,18.96
1,3,Hyperion,luxus,76.33,19.295999999999996
1,3,Hyperion,biotech,83.85,24.0
1,3,Hyperion,core_daten,121.62,24.0
1,3,Hyperion,relikte,154.95,26.150399999999998
1,4,Lusus,nahrung,24.55,6.400000000000002
1,4,Lusus,rohstoffe,29.53,32.0
1,4,Lusus,industrieteile,40.4,32.0
1,4,Lusus,energie,39.81,19.200000000000003
1,4,Lusus,luxus,82.53,45.29599999999999
1,4,Lusus,biotech,84.51,32.0
1,4,Lusus,core_daten,115.9,40.864000000000004
1,4,Lusus,relikte,144.42,32.0
1,4,Tau Ceti,nahrung,19.91,56.44800000000001
1,4,Tau Ceti,rohstoffe,29.5,30.0
1,4,Tau Ceti,industrieteile,43.86,18.799999999999997
1,4,Tau Ceti,energie,40.37,18.799999999999997
1,4,Tau Ceti,luxus,83.49,30.0
1,4,Tau Ceti,biotech,80.35,36.611999999999995
1,4,Tau Ceti,core_daten,111.21,30.0
1,4,Tau Ceti,relikte,153.31,30.0
1,4,Maui-Covenant,nahrung,21.4,34.96000000000001
1,4,Maui-Covenant,rohstoffe,27.28,22.5
1,4,Maui-Covenant,industrieteile,40.72,26.0
1,4,Maui-Covenant,energie,36.53,20.0
1,4,Maui-Covenant,luxus,84.56,22.0
1,4,Maui-Covenant,biotech,84.65,35.855999999999995
1,4,Maui-Covenant,core_daten,107.71,26.0
1,4,Maui-Covenant,relikte,151.54,26.0
1,4,Marsim,nahrung,22.92,16.599999999999994
1,4,Marsim,rohstoffe,35.09,10.5
1,4,Marsim,industrieteile,41.7,52.620000000000005
1,4,Marsim,energie,37.62,43.97200000000001
1,4,Marsim,luxus,74.99,31.0
1,4,Marsim,biotech,76.52,31.0
1,4,Marsim,core_daten,119.38,31.0
1,4,Marsim,relikte,147.69,31.0
1,4,Qom-Riyadh,nahrung,21.37,18.400000000000006
1,4,Qom-Riyadh,rohstoffe,30.05,28.0
1,4,Qom-Riyadh,industrieteile,42.36,28.0
1,4,Qom-Riyadh,energie,40.57,18.400000000000006
1,4,Qom-Riyadh,luxus,81.94,32.79599999999999
1,4,Qom-Riyadh,biotech,78.68,28.0
1,4,Qom-Riyadh,core_daten,108.62,47.184
1,4,Qom-Riyadh,relikte,141.37,28.0
1,4,Bressia,nahrung,20.32,15.64
1,4,Bressia,rohstoffe,28.87,38.2992
1,4,Bressia,industrieteile,42.11,18.159999999999997
1,4,Bressia,energie,36.89,30.818399999999997
1,4,Bressia,luxus,73.33,25.0
1,4,Bressia,biotech,88.28,25.0
1,4,Bressia,core_daten,109.71,25.0
1,4,Bressia,relikte,144.43,25.0
1,4,Hebron,nahrung,21.64,17.200000000000003
1,4,Hebron,rohstoffe,30.7,26.0
1,4,Hebron,industrieteile,42.11,26.0
1,4,Hebron,energie,41.51,18.799999999999997
1,4,Hebron,luxus,78.72,31.512
1,4,Hebron,biotech,85.39,19.599999999999994
1,4,Hebron,core_daten,113.33,26.0
1,4,Hebron,relikte,132.02,26.0
1,4,Hyperion,nahrung,20.89,18.239999999999995
1,4,Hyperion,rohstoffe,26.72,29.734399999999994
1,4,Hyperion,industrieteile,38.72,24.0
1,4,Hyperion,energie,40.68,17.28
1,4,Hyperion,luxus,76.08,17.727999999999994
1,4,Hyperion,biotech,81.48,24.0
1,4,Hyperion,core_daten,117.82,24.0
1,4,Hyperion,relikte,146.93,26.867199999999997
1,5,Lusus,nahrung,45.55,10.7
1,5,Lusus,rohstoffe,29.44,32.0
1,5,Lusus,industrieteile,44.76,32.0
1,5,Lusus,energie,37.12,16.000000000000004
1,5,Lusus,luxus,75.27,48.61999999999999
1,5,Lusus,biotech,76.78,32.0
1,5,Lusus,core_daten,106.48,43.080000000000005
1,5,Lusus,relikte,143.94,32.0
1,5,Tau Ceti,nahrung,19.51,57.06000000000001
1,5,Tau Ceti,rohstoffe,29.89,30.0
1,5,Tau Ceti,industrieteile,42.72,15.999999999999996
1,5,Tau Ceti,energie,38.27,15.999999999999996
1,5,Tau Ceti,luxus,83.51,30.0
1,5,Tau Ceti,biotech,82.5,38.26499999999999
1,5,Tau Ceti,core_daten,108.3,30.0
1,5,Tau Ceti,relikte,140.88,30.0
1,5,Maui-Covenant,nahrung,20.82,37.20000000000001
1,5,Maui-Covenant,rohstoffe,29.65,22.5
1,5,Maui-Covenant,industrieteile,42.8,26.0
1,5,Maui-Covenant,energie,37.08,18.5
1,5,Maui-Covenant,luxus,80.75,21.0
1,5,Maui-Covenant,biotech,85.31,38.31999999999999
1,5,Maui-Covenant,core_daten,119.0,26.0
1,5,Maui-Covenant,relikte,153.34,26.0
1,5,Marsim,nahrung,22.91,12.999999999999995
1,5,Marsim,rohstoffe,35.79,10.5
1,5,Marsim,industrieteile,42.2,58.025000000000006
1,5,Marsim,energie,36.98,47.21500000000001
1,5,Marsim,luxus,77.62,31.0
1,5,Marsim,biotech,79.67,31.0
1,5,Marsim,core_daten,115.06,31.0
1,5,Marsim,relikte,143.59,31.0
1,5,Qom-Riyadh,nahrung,20.6,15.30000000000001
1,5,Qom-Riyadh,rohstoffe,27.75,22.0
1,5,Qom-Riyadh,industrieteile,40.66,28.0
1,5,Qom-Riyadh,energie,40.32,16.000000000000007
1,5,Qom-Riyadh,luxus,83.05,33.99499999999999
1,5,Qom-Riyadh,biotech,83.2,28.0
1,5,Qom-Riyadh,core_daten,110.19,51.98
1,5,Qom-Riyadh,relikte,140.63,28.0
1,5,Bressia,nahrung,20.0,9.3
1,5,Bressia,rohstoffe,28.21,41.623999999999995
1,5,Bressia,industrieteile,46.44,16.449999999999996
1,5,Bressia,energie,34.54,32.272999999999996
1,5,Bressia,luxus,84.76,25.0
1,5,Bressia,biotech,76.54,25.0
1,5,Bressia,core_daten,116.51,25.0
1,5,Bressia,relikte,137.88,25.0
1,5,Hebron,nahrung,22.23,15.000000000000004
1,5,Hebron,rohstoffe,31.19,26.0
1,5,Hebron,industrieteile,41.97,26.0
1,5,Hebron,energie,37.97,16.999999999999996
1,5,Hebron,luxus,76.49,32.89
1,5,Hebron,biotech,78.56,17.999999999999993
1,5,Hebron,core_daten,109.92,26.0
1,5,Hebron,relikte,140.94,26.0
1,5,Hyperion,nahrung,21.0,16.799999999999994
1,5,Hyperion,rohstoffe,29.55,31.167999999999992
1,5,Hyperion,industrieteile,41.85,24.0
1,5,Hyperion,energie,38.73,15.600000000000001
1,5,Hyperion,luxus,78.3,16.159999999999993
1,5,Hyperion,biotech,89.14,24.0
1,5,Hyperion,core_daten,104.54,24.0
1,5,Hyperion,relikte,156.95,27.583999999999996
1,6,Lusus,nahrung,24.06,10.7
1,6,Lusus,rohstoffe,27.61,26.0
1,6,Lusus,industrieteile,44.88,32.0
1,6,Lusus,energie,38.23,12.800000000000004
1,6,Lusus,luxus,80.9,51.94399999999999
1,6,Lusus,biotech,84.9,32.0
1,6,Lusus,core_daten,117.24,45.29600000000001
1,6,Lusus,relikte,148.09,32.0
1,6,Tau Ceti,nahrung,21.95,63.27200000000001
1,6,Tau Ceti,rohstoffe,28.11,30.0
1,6,Tau Ceti,industrieteile,46.05,13.199999999999996
1,6,Tau Ceti,energie,39.6,13.199999999999996
1,6,Tau Ceti,luxus,78.68,30.0
1,6,Tau Ceti,biotech,79.56,39.91799999999999
1,6,Tau Ceti,core_daten,109.45,30.0
1,6,Tau Ceti,relikte,150.57,30.0
1,6,Maui-Covenant,nahrung,19.95,32.34
1,6,Maui-Covenant,rohstoffe,29.97,22.5
1,6,Maui-Covenant,industrieteile,41.49,26.0
1,6,Maui-Covenant,energie,36.03,17.0
1,6,Maui-Covenant,luxus,76.39,20.0
1,6,Maui-Covenant,biotech,78.85,40.78399999999999
1,6,Maui-Covenant,core_daten,114.38,26.0
1,6,Maui-Covenant,relikte,140.3,26.0
1,6,Marsim,nahrung,21.53,10.5
1,6,Marsim,rohstoffe,35.4,10.5
1,6,Marsim,industrieteile,39.82,63.43000000000001
1,6,Marsim,energie,39.73,50.45800000000001
1,6,Marsim,luxus,77.88,31.0
1,6,Marsim,biotech,85.93,31.0
1,6,Marsim,core_daten,114.35,31.0
1,6,Marsim,relikte,136.44,31.0
1,6,Qom-Riyadh,nahrung,22.11,12.90000000000001
1,6,Qom-Riyadh,rohstoffe,30.13,22.0
1,6,Qom-Riyadh,industrieteile,45.29,28.0
1,6,Qom-Riyadh,energie,38.03,13.600000000000007
1,6,Qom-Riyadh,luxus,75.39,35.19399999999999
1,6,Qom-Riyadh,biotech,86.22,28.0
1,6,Qom-Riyadh,core_daten,113.89,56.775999999999996
1,6,Qom-Riyadh,relikte,145.8,28.0
1,6,Bressia,nahrung,20.87,6.960000000000001
1,6,Bressia,rohstoffe,28.08,44.94879999999999
1,6,Bressia,industrieteile,46.03,14.739999999999995
1,6,Bressia,energie,35.8,33.727599999999995
1,6,Bressia,luxus,83.52,25.0
1,6,Bressia,biotech,89.61,25.0
1,6,Bressia,core_daten,102.84,25.0
1,6,Bressia,relikte,132.14,25.0
1,6,Hebron,nahrung,21.51,12.800000000000004
1,6,Hebron,rohstoffe,31.1,26.0
1,6,Hebron,industrieteile,42.87,26.0
1,6,Hebron,energie,36.81,15.199999999999996
1,6,Hebron,luxus,77.82,34.268
1,6,Hebron,biotech,88.27,16.39999999999999
1,6,Hebron,core_daten,116.07,26.0
1,6,Hebron,relikte,149.84,26.0
1,6,Hyperion,nahrung,21.4,15.359999999999994
1,6,Hyperion,rohstoffe,30.56,32.60159999999999
1,6,Hyperion,industrieteile,46.66,24.0
1,6,Hyperion,energie,37.33,13.920000000000002
1,6,Hyperion,luxus,77.39,14.591999999999993
1,6,Hyperion,biotech,77.64,24.0
1,6,Hyperion,core_daten,106.4,24.0
1,6,Hyperion,relikte,155.84,28.300799999999995
1,7,Lusus,nahrung,24.24,10.7
1,7,Lusus,rohstoffe,30.27,26.0
1,7,Lusus,industrieteile,45.3,32.0
1,7,Lusus,energie,42.41,10.7
1,7,Lusus,luxus,73.43,55.26799999999999
1,7,Lusus,biotech,82.87,32.0
1,7,Lusus,core_daten,117.63,47.51200000000001
1,7,Lusus,relikte,143.54,32.0
1,7,Tau Ceti,nahrung,19.58,60.28400000000001
1,7,Tau Ceti,rohstoffe,29.05,30.0
1,7,Tau Ceti,industrieteile,46.0,10.399999999999995
1,7,Tau Ceti,energie,40.13,10.399999999999995
1,7,Tau Ceti,luxus,83.48,30.0
1,7,Tau Ceti,biotech,82.35,41.57099999999999
1,7,Tau Ceti,core_daten,115.41,30.0
1,7,Tau Ceti,relikte,136.57,30.0
1,7,Maui-Covenant,nahrung,19.97,34.18000000000001
1,7,Maui-Covenant,rohstoffe,27.68,22.5
1,7,Maui-Covenant,industrieteile,40.04,26.0
1,7,Maui-Covenant,energie,37.85,15.5
1,7,Maui-Covenant,luxus,79.02,19.0
1,7,Maui-Covenant,biotech,86.34,43.24799999999999
1,7,Maui-Covenant,core_daten,110.27,26.0
1,7,Maui-Covenant,relikte,136.8,26.0
1,7,Marsim,nahrung,23.78,10.5
1,7,Marsim,rohstoffe,35.86,10.5
1,7,Marsim,industrieteile,40.73,68.83500000000001
1,7,Marsim,energie,36.57,53.701000000000015
1,7,Marsim,luxus,74.51,31.0
1,7,Marsim,biotech,79.28,31.0
1,7,Marsim,core_daten,114.84,31.0
1,7,Marsim,relikte,140.25,31.0
1,7,Qom-Riyadh,nahrung,22.47,10.500000000000009
1,7,Qom-Riyadh,rohstoffe,27.04,16.0
1,7,Qom-Riyadh,industrieteile,44.46,28.0
1,7,Qom-Riyadh,energie,37.82,11.200000000000006
1,7,Qom-Riyadh,luxus,79.44,36.39299999999999
1,7,Qom-Riyadh,biotech,80.6,28.0
1,7,Qom-Riyadh,core_daten,109.12,61.571999999999996
1,7,Qom-Riyadh,relikte,147.63,28.0
1,7,Bressia,nahrung,20.9,4.620000000000001
1,7,Bressia,rohstoffe,30.86,48.27359999999999
1,7,Bressia,industrieteile,47.88,13.029999999999994
1,7,Bressia,energie,34.96,34.0822
1,7,Bressia,luxus,84.88,25.0
1,7,Bressia,biotech,86.3,25.0
1,7,Bressia,core_daten,114.97,25.0
1,7,Bressia,relikte,152.99,25.0
1,7,Hebron,nahrung,22.56,10.600000000000005
1,7,Hebron,rohstoffe,28.45,26.0
1,7,Hebron,industrieteile,40.99,26.0
1,7,Hebron,energie,39.78,13.399999999999995
1,7,Hebron,luxus,73.23,35.646
1,7,Hebron,biotech,91.57,14.799999999999992
1,7,Hebron,core_daten,117.48,26.0
1,7,Hebron,relikte,145.83,26.0
1,7,Hyperion,nahrung,20.97,13.919999999999995
1,7,Hyperion,rohstoffe,29.52,34.03519999999999
1,7,Hyperion,industrieteile,42.84,24.0
1,7,Hyperion,energie,42.03,12.240000000000002
1,7,Hyperion,luxus,86.33,13.023999999999994
1,7,Hyperion,biotech,82.97,24.0
1,7,Hyperion,core_daten,119.72,24.0
1,7,Hyperion,relikte,131.63,29.017599999999995
1,8,Lusus,nahrung,26.39,10.7
1,8,Lusus,rohstoffe,29.26,26.0
1,8,Lusus,industrieteile,45.16,32.0
1,8,Lusus,energie,42.27,10.7
1,8,Lusus,luxus,74.11,58.591999999999985
1,8,Lusus,biotech,76.78,32.0
1,8,Lusus,core_daten,114.11,49.72800000000001
1,8,Lusus,relikte,153.35,32.0
1,8,Tau Ceti,nahrung,20.43,66.49600000000001
1,8,Tau Ceti,rohstoffe,28.27,30.0
1,8,Tau Ceti,industrieteile,45.39,10.3
1,8,Tau Ceti,energie,38.52,10.3
1,8,Tau Ceti,luxus,79.05,30.0
1,8,Tau Ceti,biotech,78.64,43.22399999999999
1,8,Tau Ceti,core_daten,109.23,30.0
1,8,Tau Ceti,relikte,144.21,30.0
1,8,Maui-Covenant,nahrung,19.65,25.020000000000017
1,8,Maui-Covenant,rohstoffe,30.1,22.5
1,8,Maui-Covenant,industrieteile,44.94,26.0
1,8,Maui-Covenant,energie,36.63,14.0
1,8,Maui-Covenant,luxus,81.21,18.0
1,8,Maui-Covenant,biotech,83.81,45.71199999999999
1,8,Maui-Covenant,core_daten,112.44,26.0
1,8,Maui-Covenant,relikte,151.22,26.0
1,8,Marsim,nahrung,23.68,10.5
1,8,Marsim,rohstoffe,35.94,10.5
1,8,Marsim,industrieteile,43.83,74.24000000000001
1,8,Marsim,energie,36.06,49.94400000000002
1,8,Marsim,luxus,80.22,31.0
1,8,Marsim,biotech,81.18,31.0
1,8,Marsim,core_daten,117.57,31.0
1,8,Marsim,relikte,137.07,31.0
1,8,Qom-Riyadh,nahrung,23.12,9.9
1,8,Qom-Riyadh,rohstoffe,27.86,10.0
1,8,Qom-Riyadh,industrieteile,40.25,25.299999999999994
1,8,Qom-Riyadh,energie,40.91,9.9
1,8,Qom-Riyadh,luxus,75.51,37.591999999999985
1,8,Qom-Riyadh,biotech,82.75,28.0
1,8,Qom-Riyadh,core_daten,109.54,66.368
1,8,Qom-Riyadh,relikte,148.04,28.0
1,8,Bressia,nahrung,25.04,2.2800000000000007
1,8,Bressia,rohstoffe,29.02,51.598399999999984
1,8,Bressia,industrieteile,42.02,11.319999999999993
1,8,Bressia,energie,37.31,35.5368
1,8,Bressia,luxus,78.71,25.0
1,8,Bressia,biotech,89.27,25.0
1,8,Bressia,core_daten,104.2,25.0
1,8,Bressia,relikte,137.71,25.0
1,8,Hebron,nahrung,21.81,8.400000000000006
1,8,Hebron,rohstoffe,29.63,26.0
1,8,Hebron,industrieteile,41.0,26.0
1,8,Hebron,energie,38.88,11.599999999999994
1,8,Hebron,luxus,82.58,37.024
1,8,Hebron,biotech,95.06,13.199999999999992
1,8,Hebron,core_daten,113.88,26.0
1,8,Hebron,relikte,140.21,26.0
1,8,Hyperion,nahrung,19.62,12.479999999999995
1,8,Hyperion,rohstoffe,28.27,35.46879999999999
1,8,Hyperion,industrieteile,41.07,24.0
1,8,Hyperion,energie,36.03,10.560000000000002
1,8,Hyperion,luxus,83.01,11.455999999999994
1,8,Hyperion,biotech,89.67,24.0
1,8,Hyperion,core_daten,123.65,24.0
1,8,Hyperion,relikte,141.89,29.734399999999994
1,9,Lusus,nahrung,26.82,10.7
1,9,Lusus,rohstoffe,26.93,26.0
1,9,Lusus,industrieteile,40.43,29.2
1,9,Lusus,energie,42.82,10.7
1,9,Lusus,luxus,75.86,61.91599999999998
1,9,Lusus,biotech,80.09,32.0
1,9,Lusus,core_daten,113.59,51.94400000000001
1,9,Lusus,relikte,147.27,32.0
1,9,Tau Ceti,nahrung,20.17,55.108000000000004
1,9,Tau Ceti,rohstoffe,27.04,30.0
1,9,Tau Ceti,industrieteile,47.4,10.3
1,9,Tau Ceti,energie,41.08,10.3
1,9,Tau Ceti,luxus,82.53,30.0
1,9,Tau Ceti,biotech,80.16,44.87699999999999
1,9,Tau Ceti,core_daten,107.72,30.0
1,9,Tau Ceti,relikte,153.36,30.0
1,9,Maui-Covenant,nahrung,21.31,23.560000000000016
1,9,Maui-Covenant,rohstoffe,28.18,22.5
1,9,Maui-Covenant,industrieteile,44.0,26.0
1,9,Maui-Covenant,energie,38.39,12.5
1,9,Maui-Covenant,luxus,79.83,17.0
1,9,Maui-Covenant,biotech,77.27,48.17599999999999
1,9,Maui-Covenant,core_daten,110.38,26.0
1,9,Maui-Covenant,relikte,142.2,26.0
1,9,Marsim,nahrung,22.2,10.5
1,9,Marsim,rohstoffe,36.72,10.5
1,9,Marsim,industrieteile,44.82,79.64500000000001
1,9,Marsim,energie,35.9,44.78700000000002
1,9,Marsim,luxus,73.79,31.0
1,9,Marsim,biotech,84.1,31.0
1,9,Marsim,core_daten,109.04,31.0
1,9,Marsim,relikte,136.85,31.0
1,9,Qom-Riyadh,nahrung,21.75,9.9
1,9,Qom-Riyadh,rohstoffe,30.23,10.0
1,9,Qom-Riyadh,industrieteile,40.45,25.299999999999994
1,9,Qom-Riyadh,energie,42.9,9.9
1,9,Qom-Riyadh,luxus,81.09,38.79099999999998
1,9,Qom-Riyadh,biotech,85.41,28.0
1,9,Qom-Riyadh,core_daten,108.77,71.16399999999999
1,9,Qom-Riyadh,relikte,136.89,28.0
1,9,Bressia,nahrung,32.96,9.3
1,9,Bressia,rohstoffe,29.08,54.92319999999998
1,9,Bressia,industrieteile,42.59,9.609999999999992
1,9,Bressia,energie,40.81,36.9914
1,9,Bressia,luxus,77.96,25.0
1,9,Bressia,biotech,78.94,25.0
1,9,Bressia,core_daten,118.8,25.0
1,9,Bressia,relikte,153.57,25.0
1,9,Hebron,nahrung,21.9,6.2000000000000055
1,9,Hebron,rohstoffe,25.91,20.0
1,9,Hebron,industrieteile,44.91,26.0
1,9,Hebron,energie,38.7,9.799999999999994
1,9,Hebron,luxus,84.19,38.402
1,9,Hebron,biotech,88.55,11.599999999999993
