run,seed,year,events,event_count,core_signal,ouster_threat,templar_access,trade_log_excerpt
2,8,11,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Bressia (6.0 u, kosten 10.5) | nahrung: Tau Ceti -> Bressia (3.3 u, kosten 10.5) | rohstoffe: Bressia -> Marsim (6.0 u, kosten 10.5)"
2,8,12,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 6.9) | nahrung: Tau Ceti -> Lusus (4.7 u, kosten 6.9) | nahrung: Maui-Covenant -> Hebron (2.0 u, kosten 10.5)"
2,8,13,TechnoCore-Prognosefehler erhöht Marktvolatilität,1,1.208,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0)"
2,8,14,keine,0,1.208,1.0,0.0,"nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0) | rohstoffe: Bressia -> Marsim (6.0 u, kosten 7.0)"
2,8,15,Aufstand auf Bressia,1,1.064,1.24,0.0,"nahrung: Maui-Covenant -> Lusus (2.1 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.7)"
2,8,16,keine,0,1.064,1.24,0.0,"nahrung: Maui-Covenant -> Hebron (2.1 u, kosten 7.7) | nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.7) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
2,8,17,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (2.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
2,8,18,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 7.0)"
2,8,19,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 7.0)"
2,8,20,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (0.6 u, kosten 7.0)"
2,8,21,TechnoCore-Prognosefehler erhöht Marktvolatilität,1,1.208,1.0,0.0,"nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Bressia (5.9 u, kosten 7.0) | nahrung: Tau Ceti -> Hebron (0.7 u, kosten 7.0)"
2,8,22,Aufstand auf Hyperion,1,1.208,1.24,0.0,"nahrung: Maui-Covenant -> Hebron (2.1 u, kosten 7.7) | nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.7) | nahrung: Tau Ceti -> Lusus (0.1 u, kosten 1.0)"
2,8,23,keine,0,1.064,1.24,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.1 u, kosten 1.0) | rohstoffe: Maui-Covenant -> Marsim (3.1 u, kosten 1.0)"
2,8,24,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Hyperion (0.6 u, kosten 7.0)"
2,8,25,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.5 u, kosten 7.0)"
2,8,26,Politische Sanktionen gegen Tau Ceti,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Hyperion (2.2 u, kosten 7.0) | rohstoffe: Lusus -> Marsim (2.1 u, kosten 1.0) | industrieteile: Marsim -> Bressia (1.7 u, kosten 7.0)"
2,8,27,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | rohstoffe: Hyperion -> Marsim (6.0 u, kosten 7.0) | rohstoffe: Bressia -> Marsim (3.9 u, kosten 7.0)"
2,8,28,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
2,8,29,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Hyperion (0.4 u, kosten 7.0)"
2,8,30,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (0.3 u, kosten 1.0)"
3,9,1,keine,0,1.064,1.0,0.0,kein Handel
3,9,2,keine,0,1.064,1.0,0.0,kein Handel
3,9,3,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,kein Handel
3,9,4,keine,0,1.064,1.0,0.0,kein Handel
3,9,5,keine,0,1.064,1.0,0.0,"nahrung: Bressia -> Lusus (4.0 u, kosten 7.0) | nahrung: Hyperion -> Lusus (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (0.7 u, kosten 1.0)"
3,9,6,Politische Sanktionen gegen Bressia,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (1.1 u, kosten 1.0)"
3,9,7,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (3.6 u, kosten 1.0)"
3,9,8,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
3,9,9,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (3.3 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
3,9,10,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 1.0)"
3,9,11,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (2.4 u, kosten 1.0)"
3,9,12,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.4 u, kosten 1.0)"
3,9,13,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (3.3 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
3,9,14,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Hyperion (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Hyperion (3.1 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
3,9,15,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Hebron (3.5 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0)"
3,9,16,TechnoCore-Prognosefehler erhöht Marktvolatilität,1,1.208,1.0,0.0,"nahrung: Maui-Covenant -> Marsim (3.6 u, kosten 1.0) | nahrung: Maui-Covenant -> Qom-Riyadh (2.4 u, kosten 1.0) | rohstoffe: Lusus -> Marsim (6.0 u, kosten 1.0)"
3,9,17,keine,0,1.208,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (4.7 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0)"
3,9,18,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (4.2 u, kosten 1.0) | rohstoffe: Maui-Covenant -> Marsim (4.5 u, kosten 1.0)"
3,9,19,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (1.3 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (3.1 u, kosten 1.0)"
3,9,20,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Qom-Riyadh (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Qom-Riyadh (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (0.6 u, kosten 7.0)"
3,9,21,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (0.6 u, kosten 7.0)"
3,9,22,TechnoCore optimiert Handelsnetz temporär,1,1.032,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 0.2) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 0.2) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 5.8)"
3,9,23,Ouster-Raid bei Hyperion,1,1.032,1.36,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 0.2) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 6.8)"
3,9,24,Politische Sanktionen gegen Hebron,1,1.064,1.36,0.0,"nahrung: Maui-Covenant -> Qom-Riyadh (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.6 u, kosten 8.0)"
3,9,25,Politische Sanktionen gegen Tau Ceti,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | rohstoffe: Lusus -> Marsim (6.0 u, kosten 1.0) | industrieteile: Qom-Riyadh -> Bressia (5.1 u, kosten 7.0)"
3,9,26,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | rohstoffe: Hebron -> Marsim (3.0 u, kosten 7.0) | rohstoffe: Bressia -> Marsim (3.0 u, kosten 7.0)"
3,9,27,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
3,9,28,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Qom-Riyadh (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (0.5 u, kosten 7.0)"
3,9,29,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Hebron (0.5 u, kosten 7.0)"
3,9,30,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Hebron (0.4 u, kosten 7.0)"
4,10,1,keine,0,1.064,1.0,0.0,kein Handel
4,10,2,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,kein Handel
4,10,3,keine,0,1.064,1.0,0.0,kein Handel
4,10,4,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,"nahrung: Tau Ceti -> Lusus (4.3 u, kosten 1.0) | rohstoffe: Bressia -> Marsim (3.5 u, kosten 7.0)"
4,10,5,TechnoCore-Prognosefehler erhöht Marktvolatilität,1,1.208,1.0,0.0,"nahrung: Hebron -> Lusus (5.5 u, kosten 7.0) | nahrung: Hyperion -> Lusus (0.9 u, kosten 7.0) | rohstoffe: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
4,10,6,Weltenbaum-Sonderroute verfügbar,1,1.208,1.0,0.9,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | rohstoffe: Maui-Covenant -> Marsim (6.0 u, kosten 1.0)"
4,10,7,keine,0,1.064,1.0,0.0,"nahrung: Qom-Riyadh -> Lusus (1.3 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (5.1 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (4.7 u, kosten 1.0)"
4,10,8,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (3.6 u, kosten 1.0)"
4,10,9,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Hebron (6.0 u, kosten 7.0) | nahrung: Maui-Covenant -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (0.4 u, kosten 1.0)"
4,10,10,keine,0,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Lusus (2.9 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (3.5 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (2.4 u, kosten 1.0)"
4,10,11,TechnoCore optimiert Handelsnetz temporär,1,1.032,1.0,0.0,"nahrung: Tau Ceti -> Bressia (6.0 u, kosten 5.8) | nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 5.8) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2)"
4,10,12,keine,0,1.032,1.0,0.0,"nahrung: Tau Ceti -> Hebron (6.0 u, kosten 5.8) | nahrung: Maui-Covenant -> Hebron (2.2 u, kosten 5.8) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2)"
4,10,13,TechnoCore optimiert Handelsnetz temporär,1,1.032,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2) | nahrung: Maui-Covenant -> Lusus (1.2 u, kosten 0.2) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 0.2)"
4,10,14,keine,0,1.032,1.0,0.0,"nahrung: Maui-Covenant -> Bressia (3.3 u, kosten 5.8) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 0.2) | nahrung: Tau Ceti -> Marsim (3.6 u, kosten 0.2)"
4,10,15,TechnoCore-Prognosefehler erhöht Marktvolatilität,1,1.208,1.0,0.0,"nahrung: Tau Ceti -> Hebron (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (0.8 u, kosten 1.0)"
4,10,16,Pilgerströme Richtung Hyperion,1,1.208,1.0,0.0,"nahrung: Maui-Covenant -> Bressia (3.7 u, kosten 7.0) | nahrung: Tau Ceti -> Bressia (5.6 u, kosten 7.0) | nahrung: Tau Ceti -> Qom-Riyadh (4.8 u, kosten 1.0)"
4,10,17,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0)"
4,10,18,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 6.9) | rohstoffe: Qom-Riyadh -> Marsim (6.0 u, kosten 6.9) | luxus: Tau Ceti -> Maui-Covenant (2.1 u, kosten 6.9)"
4,10,19,Aufstand auf Bressia,1,1.064,1.24,0.0,"nahrung: Maui-Covenant -> Marsim (4.3 u, kosten 6.9) | nahrung: Tau Ceti -> Marsim (6.0 u, kosten 6.9) | nahrung: Tau Ceti -> Hebron (5.2 u, kosten 11.2)"
4,10,20,keine,0,1.064,1.24,0.0,"nahrung: Maui-Covenant -> Lusus (2.1 u, kosten 1.0) | nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Tau Ceti -> Bressia (0.1 u, kosten 7.7)"
4,10,21,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Maui-Covenant -> Bressia (2.2 u, kosten 7.0) | nahrung: Tau Ceti -> Bressia (6.0 u, kosten 7.0) | nahrung: Tau Ceti -> Lusus (0.6 u, kosten 1.0)"
4,10,22,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,"nahrung: Tau Ceti -> Lusus (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Lusus (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Marsim (0.6 u, kosten 1.0)"
4,10,23,keine,0,1.064,1.0,0.0,"nahrung: Tau Ceti -> Marsim (6.0 u, kosten 1.0) | nahrung: Maui-Covenant -> Marsim (2.2 u, kosten 1.0) | nahrung: Tau Ceti -> Qom-Riyadh (0.6 u, kosten 1.0)"
