scenario,run,seed,year,world,good,price,stock
baseline,1,7,3,Lusus,nahrung,22.55,12.800000000000002
baseline,1,7,3,Lusus,rohstoffe,26.85,32.0
baseline,1,7,3,Lusus,industrieteile,45.32,32.0
baseline,1,7,3,Lusus,energie,40.19,22.400000000000002
baseline,1,7,3,Lusus,luxus,83.2,41.971999999999994
baseline,1,7,3,Lusus,biotech,77.43,32.0
baseline,1,7,3,Lusus,core_daten,108.99,38.648
baseline,1,7,3,Lusus,relikte,136.29,32.0
baseline,1,7,3,Tau Ceti,nahrung,21.52,49.836000000000006
baseline,1,7,3,Tau Ceti,rohstoffe,27.62,30.0
baseline,1,7,3,Tau Ceti,industrieteile,42.4,21.599999999999998
baseline,1,7,3,Tau Ceti,energie,38.28,21.599999999999998
baseline,1,7,3,Tau Ceti,luxus,82.88,30.0
baseline,1,7,3,Tau Ceti,biotech,84.8,34.958999999999996
baseline,1,7,3,Tau Ceti,core_daten,109.15,30.0
baseline,1,7,3,Tau Ceti,relikte,138.5,30.0
baseline,1,7,3,Maui-Covenant,nahrung,21.93,32.720000000000006
baseline,1,7,3,Maui-Covenant,rohstoffe,28.74,26.0
baseline,1,7,3,Maui-Covenant,industrieteile,43.85,26.0
baseline,1,7,3,Maui-Covenant,energie,36.16,21.5
baseline,1,7,3,Maui-Covenant,luxus,75.73,23.0
baseline,1,7,3,Maui-Covenant,biotech,83.48,33.391999999999996
baseline,1,7,3,Maui-Covenant,core_daten,111.74,26.0
baseline,1,7,3,Maui-Covenant,relikte,137.5,26.0
baseline,1,7,3,Marsim,nahrung,22.64,20.199999999999996
baseline,1,7,3,Marsim,rohstoffe,32.3,13.0
baseline,1,7,3,Marsim,industrieteile,44.18,47.215
baseline,1,7,3,Marsim,energie,35.41,40.729000000000006
baseline,1,7,3,Marsim,luxus,82.29,31.0
baseline,1,7,3,Marsim,biotech,77.07,31.0
baseline,1,7,3,Marsim,core_daten,117.82,31.0
baseline,1,7,3,Marsim,relikte,144.06,31.0
baseline,1,7,3,Qom-Riyadh,nahrung,20.8,20.800000000000004
baseline,1,7,3,Qom-Riyadh,rohstoffe,28.66,28.0
baseline,1,7,3,Qom-Riyadh,industrieteile,45.06,28.0
baseline,1,7,3,Qom-Riyadh,energie,37.41,20.800000000000004
baseline,1,7,3,Qom-Riyadh,luxus,74.95,31.596999999999994
baseline,1,7,3,Qom-Riyadh,biotech,81.99,28.0
baseline,1,7,3,Qom-Riyadh,core_daten,108.51,42.388
baseline,1,7,3,Qom-Riyadh,relikte,137.96,28.0
baseline,1,7,3,Bressia,nahrung,19.92,17.98
baseline,1,7,3,Bressia,rohstoffe,25.97,34.9744
baseline,1,7,3,Bressia,industrieteile,41.48,19.869999999999997
baseline,1,7,3,Bressia,energie,36.13,29.363799999999998
baseline,1,7,3,Bressia,luxus,75.97,25.0
baseline,1,7,3,Bressia,biotech,85.92,25.0
baseline,1,7,3,Bressia,core_daten,108.32,25.0
baseline,1,7,3,Bressia,relikte,145.6,25.0
baseline,1,7,3,Hebron,nahrung,19.92,19.400000000000002
baseline,1,7,3,Hebron,rohstoffe,27.65,26.0
baseline,1,7,3,Hebron,industrieteile,38.8,26.0
baseline,1,7,3,Hebron,energie,36.49,20.599999999999998
baseline,1,7,3,Hebron,luxus,71.41,30.134
baseline,1,7,3,Hebron,biotech,88.34,21.199999999999996
baseline,1,7,3,Hebron,core_daten,113.93,26.0
baseline,1,7,3,Hebron,relikte,136.79,26.0
baseline,1,7,3,Hyperion,nahrung,21.0,19.679999999999996
baseline,1,7,3,Hyperion,rohstoffe,30.84,28.300799999999995
baseline,1,7,3,Hyperion,industrieteile,39.56,24.0
baseline,1,7,3,Hyperion,energie,40.72,18.96
baseline,1,7,3,Hyperion,luxus,79.86,19.295999999999996
baseline,1,7,3,Hyperion,biotech,81.82,24.0
baseline,1,7,3,Hyperion,core_daten,120.19,24.0
baseline,1,7,3,Hyperion,relikte,142.46,26.150399999999998
baseline,1,7,4,Lusus,nahrung,21.79,10.7
baseline,1,7,4,Lusus,rohstoffe,28.52,32.0
baseline,1,7,4,Lusus,industrieteile,42.69,32.0
baseline,1,7,4,Lusus,energie,40.68,19.200000000000003
baseline,1,7,4,Lusus,luxus,81.47,45.29599999999999
baseline,1,7,4,Lusus,biotech,84.97,32.0
baseline,1,7,4,Lusus,core_daten,113.51,40.864000000000004
baseline,1,7,4,Lusus,relikte,152.11,32.0
baseline,1,7,4,Tau Ceti,nahrung,21.26,52.14800000000001
baseline,1,7,4,Tau Ceti,rohstoffe,29.19,26.5
baseline,1,7,4,Tau Ceti,industrieteile,43.28,18.799999999999997
baseline,1,7,4,Tau Ceti,energie,36.54,18.799999999999997
baseline,1,7,4,Tau Ceti,luxus,75.04,30.0
baseline,1,7,4,Tau Ceti,biotech,79.98,36.611999999999995
baseline,1,7,4,Tau Ceti,core_daten,106.94,30.0
baseline,1,7,4,Tau Ceti,relikte,151.25,30.0
baseline,1,7,4,Maui-Covenant,nahrung,20.96,34.96000000000001
baseline,1,7,4,Maui-Covenant,rohstoffe,28.95,26.0
baseline,1,7,4,Maui-Covenant,industrieteile,43.45,26.0
baseline,1,7,4,Maui-Covenant,energie,39.12,20.0
baseline,1,7,4,Maui-Covenant,luxus,80.28,22.0
baseline,1,7,4,Maui-Covenant,biotech,76.27,35.855999999999995
baseline,1,7,4,Maui-Covenant,core_daten,117.12,26.0
baseline,1,7,4,Maui-Covenant,relikte,150.09,26.0
baseline,1,7,4,Marsim,nahrung,21.6,16.599999999999994
baseline,1,7,4,Marsim,rohstoffe,32.67,10.5
baseline,1,7,4,Marsim,industrieteile,43.38,52.620000000000005
baseline,1,7,4,Marsim,energie,35.31,43.97200000000001
baseline,1,7,4,Marsim,luxus,81.09,31.0
baseline,1,7,4,Marsim,biotech,79.0,31.0
baseline,1,7,4,Marsim,core_daten,106.46,31.0
baseline,1,7,4,Marsim,relikte,140.57,31.0
baseline,1,7,4,Qom-Riyadh,nahrung,21.92,18.400000000000006
baseline,1,7,4,Qom-Riyadh,rohstoffe,27.39,28.0
baseline,1,7,4,Qom-Riyadh,industrieteile,44.04,28.0
baseline,1,7,4,Qom-Riyadh,energie,41.08,18.400000000000006
baseline,1,7,4,Qom-Riyadh,luxus,78.59,32.79599999999999
baseline,1,7,4,Qom-Riyadh,biotech,80.48,28.0
baseline,1,7,4,Qom-Riyadh,core_daten,111.88,47.184
baseline,1,7,4,Qom-Riyadh,relikte,148.64,28.0
baseline,1,7,4,Bressia,nahrung,22.48,15.64
baseline,1,7,4,Bressia,rohstoffe,29.04,38.2992
baseline,1,7,4,Bressia,industrieteile,45.36,18.159999999999997
baseline,1,7,4,Bressia,energie,34.43,30.818399999999997
baseline,1,7,4,Bressia,luxus,73.58,25.0
baseline,1,7,4,Bressia,biotech,77.97,25.0
baseline,1,7,4,Bressia,core_daten,118.15,25.0
baseline,1,7,4,Bressia,relikte,140.13,25.0
baseline,1,7,4,Hebron,nahrung,21.58,17.200000000000003
baseline,1,7,4,Hebron,rohstoffe,25.82,26.0
baseline,1,7,4,Hebron,industrieteile,39.15,26.0
baseline,1,7,4,Hebron,energie,36.72,18.799999999999997
baseline,1,7,4,Hebron,luxus,81.29,31.512
baseline,1,7,4,Hebron,biotech,88.0,19.599999999999994
baseline,1,7,4,Hebron,core_daten,116.63,26.0
baseline,1,7,4,Hebron,relikte,139.62,26.0
baseline,1,7,4,Hyperion,nahrung,21.2,18.239999999999995
baseline,1,7,4,Hyperion,rohstoffe,28.26,29.734399999999994
baseline,1,7,4,Hyperion,industrieteile,42.52,24.0
baseline,1,7,4,Hyperion,energie,35.66,17.28
baseline,1,7,4,Hyperion,luxus,87.32,17.727999999999994
baseline,1,7,4,Hyperion,biotech,77.17,24.0
baseline,1,7,4,Hyperion,core_daten,123.3,24.0
baseline,1,7,4,Hyperion,relikte,157.53,26.867199999999997
baseline,1,7,5,Lusus,nahrung,23.66,10.299999999999999
baseline,1,7,5,Lusus,rohstoffe,28.96,32.0
baseline,1,7,5,Lusus,industrieteile,41.5,32.0
baseline,1,7,5,Lusus,energie,37.08,16.000000000000004
baseline,1,7,5,Lusus,luxus,82.65,48.61999999999999
baseline,1,7,5,Lusus,biotech,77.67,32.0
baseline,1,7,5,Lusus,core_daten,111.86,43.080000000000005
baseline,1,7,5,Lusus,relikte,141.93,32.0
baseline,1,7,5,Tau Ceti,nahrung,20.23,52.76000000000001
baseline,1,7,5,Tau Ceti,rohstoffe,29.35,26.5
baseline,1,7,5,Tau Ceti,industrieteile,48.01,15.999999999999996
baseline,1,7,5,Tau Ceti,energie,37.94,15.999999999999996
baseline,1,7,5,Tau Ceti,luxus,80.31,30.0
baseline,1,7,5,Tau Ceti,biotech,79.32,38.26499999999999
baseline,1,7,5,Tau Ceti,core_daten,113.46,30.0
baseline,1,7,5,Tau Ceti,relikte,143.05,30.0
baseline,1,7,5,Maui-Covenant,nahrung,19.91,37.20000000000001
baseline,1,7,5,Maui-Covenant,rohstoffe,27.25,26.0
baseline,1,7,5,Maui-Covenant,industrieteile,41.16,26.0
baseline,1,7,5,Maui-Covenant,energie,40.3,18.5
baseline,1,7,5,Maui-Covenant,luxus,80.54,20.55
baseline,1,7,5,Maui-Covenant,biotech,78.47,38.31999999999999
baseline,1,7,5,Maui-Covenant,core_daten,118.69,26.0
baseline,1,7,5,Maui-Covenant,relikte,154.71,26.0
baseline,1,7,5,Marsim,nahrung,21.68,12.999999999999995
baseline,1,7,5,Marsim,rohstoffe,31.02,10.5
baseline,1,7,5,Marsim,industrieteile,40.82,58.025000000000006
baseline,1,7,5,Marsim,energie,35.42,47.21500000000001
baseline,1,7,5,Marsim,luxus,77.11,31.0
baseline,1,7,5,Marsim,biotech,77.32,31.0
baseline,1,7,5,Marsim,core_daten,108.83,31.0
baseline,1,7,5,Marsim,relikte,140.44,31.0
baseline,1,7,5,Qom-Riyadh,nahrung,21.57,16.000000000000007
baseline,1,7,5,Qom-Riyadh,rohstoffe,29.88,28.0
baseline,1,7,5,Qom-Riyadh,industrieteile,44.09,28.0
baseline,1,7,5,Qom-Riyadh,energie,38.51,16.000000000000007
baseline,1,7,5,Qom-Riyadh,luxus,77.76,33.99499999999999
baseline,1,7,5,Qom-Riyadh,biotech,81.96,28.0
baseline,1,7,5,Qom-Riyadh,core_daten,110.34,51.98
baseline,1,7,5,Qom-Riyadh,relikte,142.22,28.0
baseline,1,7,5,Bressia,nahrung,19.69,13.3
baseline,1,7,5,Bressia,rohstoffe,27.18,41.623999999999995
baseline,1,7,5,Bressia,industrieteile,48.32,16.449999999999996
baseline,1,7,5,Bressia,energie,34.77,32.272999999999996
baseline,1,7,5,Bressia,luxus,78.97,25.0
baseline,1,7,5,Bressia,biotech,83.88,25.0
baseline,1,7,5,Bressia,core_daten,120.74,25.0
baseline,1,7,5,Bressia,relikte,137.66,25.0
baseline,1,7,5,Hebron,nahrung,20.44,15.000000000000004
baseline,1,7,5,Hebron,rohstoffe,27.18,20.0
baseline,1,7,5,Hebron,industrieteile,41.93,26.0
baseline,1,7,5,Hebron,energie,38.15,16.999999999999996
baseline,1,7,5,Hebron,luxus,85.51,32.89
baseline,1,7,5,Hebron,biotech,90.94,17.999999999999993
baseline,1,7,5,Hebron,core_daten,120.9,26.0
baseline,1,7,5,Hebron,relikte,132.11,26.0
baseline,1,7,5,Hyperion,nahrung,19.27,16.799999999999994
baseline,1,7,5,Hyperion,rohstoffe,29.59,31.167999999999992
baseline,1,7,5,Hyperion,industrieteile,46.05,24.0
baseline,1,7,5,Hyperion,energie,38.41,15.600000000000001
baseline,1,7,5,Hyperion,luxus,83.02,15.454399999999994
baseline,1,7,5,Hyperion,biotech,74.04,24.0
baseline,1,7,5,Hyperion,core_daten,110.58,24.0
baseline,1,7,5,Hyperion,relikte,157.18,27.583999999999996
baseline,1,7,6,Lusus,nahrung,23.76,9.899999999999999
baseline,1,7,6,Lusus,rohstoffe,27.69,32.0
baseline,1,7,6,Lusus,industrieteile,45.14,32.0
baseline,1,7,6,Lusus,energie,39.83,12.800000000000004
baseline,1,7,6,Lusus,luxus,75.2,51.94399999999999
baseline,1,7,6,Lusus,biotech,78.67,32.0
baseline,1,7,6,Lusus,core_daten,111.02,45.29600000000001
baseline,1,7,6,Lusus,relikte,147.89,32.0
baseline,1,7,6,Tau Ceti,nahrung,21.96,53.372000000000014
baseline,1,7,6,Tau Ceti,rohstoffe,27.19,26.5
baseline,1,7,6,Tau Ceti,industrieteile,45.21,13.199999999999996
baseline,1,7,6,Tau Ceti,energie,38.08,13.199999999999996
baseline,1,7,6,Tau Ceti,luxus,83.51,30.0
baseline,1,7,6,Tau Ceti,biotech,77.63,39.91799999999999
baseline,1,7,6,Tau Ceti,core_daten,106.17,30.0
baseline,1,7,6,Tau Ceti,relikte,136.85,30.0
baseline,1,7,6,Maui-Covenant,nahrung,20.51,39.44000000000001
baseline,1,7,6,Maui-Covenant,rohstoffe,29.94,26.0
baseline,1,7,6,Maui-Covenant,industrieteile,44.86,26.0
baseline,1,7,6,Maui-Covenant,energie,39.55,17.0
baseline,1,7,6,Maui-Covenant,luxus,85.91,19.1
baseline,1,7,6,Maui-Covenant,biotech,85.83,40.78399999999999
baseline,1,7,6,Maui-Covenant,core_daten,110.35,26.0
baseline,1,7,6,Maui-Covenant,relikte,139.61,26.0
baseline,1,7,6,Marsim,nahrung,23.44,9.399999999999995
baseline,1,7,6,Marsim,rohstoffe,33.54,10.5
baseline,1,7,6,Marsim,industrieteile,39.93,63.43000000000001
baseline,1,7,6,Marsim,energie,38.15,50.45800000000001
baseline,1,7,6,Marsim,luxus,77.48,31.0
baseline,1,7,6,Marsim,biotech,80.28,31.0
baseline,1,7,6,Marsim,core_daten,110.17,31.0
baseline,1,7,6,Marsim,relikte,138.78,31.0
baseline,1,7,6,Qom-Riyadh,nahrung,20.13,13.600000000000007
baseline,1,7,6,Qom-Riyadh,rohstoffe,27.66,28.0
baseline,1,7,6,Qom-Riyadh,industrieteile,41.91,28.0
baseline,1,7,6,Qom-Riyadh,energie,41.51,13.600000000000007
baseline,1,7,6,Qom-Riyadh,luxus,74.81,35.19399999999999
baseline,1,7,6,Qom-Riyadh,biotech,86.56,28.0
baseline,1,7,6,Qom-Riyadh,core_daten,107.85,56.775999999999996
baseline,1,7,6,Qom-Riyadh,relikte,142.56,28.0
baseline,1,7,6,Bressia,nahrung,22.99,10.96
baseline,1,7,6,Bressia,rohstoffe,30.13,44.94879999999999
baseline,1,7,6,Bressia,industrieteile,43.98,14.739999999999995
baseline,1,7,6,Bressia,energie,34.21,33.727599999999995
baseline,1,7,6,Bressia,luxus,78.52,25.0
baseline,1,7,6,Bressia,biotech,79.84,25.0
baseline,1,7,6,Bressia,core_daten,121.97,25.0
baseline,1,7,6,Bressia,relikte,137.02,25.0
baseline,1,7,6,Hebron,nahrung,20.93,12.800000000000004
baseline,1,7,6,Hebron,rohstoffe,30.88,14.0
baseline,1,7,6,Hebron,industrieteile,38.9,26.0
baseline,1,7,6,Hebron,energie,38.04,15.199999999999996
baseline,1,7,6,Hebron,luxus,83.32,34.268
baseline,1,7,6,Hebron,biotech,90.06,16.39999999999999
baseline,1,7,6,Hebron,core_daten,102.87,26.0
baseline,1,7,6,Hebron,relikte,132.47,26.0
baseline,1,7,6,Hyperion,nahrung,19.43,15.359999999999994
baseline,1,7,6,Hyperion,rohstoffe,30.73,32.60159999999999
baseline,1,7,6,Hyperion,industrieteile,40.8,24.0
baseline,1,7,6,Hyperion,energie,40.6,13.920000000000002
baseline,1,7,6,Hyperion,luxus,88.58,13.180799999999994
baseline,1,7,6,Hyperion,biotech,79.36,24.0
baseline,1,7,6,Hyperion,core_daten,108.0,24.0
baseline,1,7,6,Hyperion,relikte,157.95,28.300799999999995
baseline,1,7,7,Lusus,nahrung,23.32,9.499999999999998
baseline,1,7,7,Lusus,rohstoffe,27.81,32.0
baseline,1,7,7,Lusus,industrieteile,42.1,32.0
baseline,1,7,7,Lusus,energie,42.87,10.7
baseline,1,7,7,Lusus,luxus,78.37,55.26799999999999
baseline,1,7,7,Lusus,biotech,78.76,32.0
baseline,1,7,7,Lusus,core_daten,116.61,47.51200000000001
baseline,1,7,7,Lusus,relikte,147.67,32.0
baseline,1,7,7,Tau Ceti,nahrung,22.07,59.984000000000016
baseline,1,7,7,Tau Ceti,rohstoffe,27.03,26.5
baseline,1,7,7,Tau Ceti,industrieteile,46.56,10.399999999999995
baseline,1,7,7,Tau Ceti,energie,41.74,10.399999999999995
baseline,1,7,7,Tau Ceti,luxus,82.17,30.0
baseline,1,7,7,Tau Ceti,biotech,85.64,41.57099999999999
baseline,1,7,7,Tau Ceti,core_daten,106.01,30.0
baseline,1,7,7,Tau Ceti,relikte,141.18,30.0
baseline,1,7,7,Maui-Covenant,nahrung,19.79,35.680000000000014
baseline,1,7,7,Maui-Covenant,rohstoffe,27.35,26.0
baseline,1,7,7,Maui-Covenant,industrieteile,45.35,26.0
baseline,1,7,7,Maui-Covenant,energie,38.93,15.5
baseline,1,7,7,Maui-Covenant,luxus,85.46,17.650000000000002
baseline,1,7,7,Maui-Covenant,biotech,79.96,43.24799999999999
baseline,1,7,7,Maui-Covenant,core_daten,118.11,26.0
baseline,1,7,7,Maui-Covenant,relikte,144.52,26.0
baseline,1,7,7,Marsim,nahrung,22.28,5.799999999999995
baseline,1,7,7,Marsim,rohstoffe,33.68,10.5
baseline,1,7,7,Marsim,industrieteile,44.88,68.83500000000001
baseline,1,7,7,Marsim,energie,35.47,52.60100000000002
baseline,1,7,7,Marsim,luxus,79.67,31.0
baseline,1,7,7,Marsim,biotech,82.85,31.0
baseline,1,7,7,Marsim,core_daten,108.52,31.0
baseline,1,7,7,Marsim,relikte,142.48,31.0
baseline,1,7,7,Qom-Riyadh,nahrung,20.65,11.200000000000006
baseline,1,7,7,Qom-Riyadh,rohstoffe,27.39,28.0
baseline,1,7,7,Qom-Riyadh,industrieteile,41.38,28.0
baseline,1,7,7,Qom-Riyadh,energie,40.13,11.200000000000006
baseline,1,7,7,Qom-Riyadh,luxus,80.09,36.39299999999999
baseline,1,7,7,Qom-Riyadh,biotech,78.6,28.0
baseline,1,7,7,Qom-Riyadh,core_daten,104.99,61.571999999999996
baseline,1,7,7,Qom-Riyadh,relikte,142.01,28.0
baseline,1,7,7,Bressia,nahrung,22.63,8.620000000000001
baseline,1,7,7,Bressia,rohstoffe,26.67,42.27359999999999
baseline,1,7,7,Bressia,industrieteile,43.22,13.029999999999994
baseline,1,7,7,Bressia,energie,35.3,35.182199999999995
baseline,1,7,7,Bressia,luxus,83.4,25.0
baseline,1,7,7,Bressia,biotech,82.6,25.0
baseline,1,7,7,Bressia,core_daten,103.41,25.0
baseline,1,7,7,Bressia,relikte,134.46,25.0
baseline,1,7,7,Hebron,nahrung,21.2,10.600000000000005
baseline,1,7,7,Hebron,rohstoffe,28.97,14.0
baseline,1,7,7,Hebron,industrieteile,43.9,26.0
baseline,1,7,7,Hebron,energie,35.84,13.399999999999995
baseline,1,7,7,Hebron,luxus,73.51,35.646
baseline,1,7,7,Hebron,biotech,89.43,14.799999999999992
baseline,1,7,7,Hebron,core_daten,110.87,26.0
baseline,1,7,7,Hebron,relikte,139.41,26.0
baseline,1,7,7,Hyperion,nahrung,20.47,13.919999999999995
baseline,1,7,7,Hyperion,rohstoffe,30.9,34.03519999999999
baseline,1,7,7,Hyperion,industrieteile,41.26,24.0
baseline,1,7,7,Hyperion,energie,39.46,12.240000000000002
baseline,1,7,7,Hyperion,luxus,80.86,10.907199999999994
baseline,1,7,7,Hyperion,biotech,80.58,24.0
baseline,1,7,7,Hyperion,core_daten,120.83,24.0
baseline,1,7,7,Hyperion,relikte,158.95,29.017599999999995
baseline,1,7,8,Lusus,nahrung,26.41,3.099999999999998
baseline,1,7,8,Lusus,rohstoffe,27.96,32.0
baseline,1,7,8,Lusus,industrieteile,42.69,32.0
baseline,1,7,8,Lusus,energie,38.67,10.7
baseline,1,7,8,Lusus,luxus,73.29,58.591999999999985
baseline,1,7,8,Lusus,biotech,86.63,32.0
