scenario,run,seed,year,world,category,faction,farcaster,periphery,stability,prosperity,cash,time_debt,hyperion_special
baseline,1,7,4,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6140000000000001,1000.0,0.0,False
baseline,1,7,4,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.514,800.0,0.0,True
baseline,1,7,5,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0109000000000001,1387.06212,0.0,False
baseline,1,7,5,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8552000000000001,1697.9039999999998,0.0,False
baseline,1,7,5,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.78,1000.0,0.0,False
baseline,1,7,5,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8860800000000001,1196.8338,3.8639999999999994,False
baseline,1,7,5,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.91,1200.0,0.0,False
baseline,1,7,5,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.5800000000000001,900.0,0.0,False
baseline,1,7,5,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6540000000000001,1163.2,0.0,False
baseline,1,7,5,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.53,800.0,0.0,True
baseline,1,7,6,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0449000000000002,1253.20452,0.0,False
baseline,1,7,6,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8952000000000001,1826.004,0.0,False
baseline,1,7,6,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.796,1000.0,0.0,False
baseline,1,7,6,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9172736000000001,992.7162000000001,7.418879999999999,False
baseline,1,7,6,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.926,1200.0,0.0,False
baseline,1,7,6,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.5960000000000001,900.0,0.0,False
baseline,1,7,6,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6940000000000002,1325.56,0.0,False
baseline,1,7,6,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.546,800.0,0.0,True
baseline,1,7,7,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0822000000000003,1082.4323600000002,0.0,False
baseline,1,7,7,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.9112000000000001,1826.004,0.0,False
baseline,1,7,7,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8360000000000001,1123.6,0.0,False
baseline,1,7,7,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9525117120000002,834.7175999999998,10.689369599999997,False
baseline,1,7,7,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9420000000000001,1200.0,0.0,False
baseline,1,7,7,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6360000000000001,1056.6,0.0,False
baseline,1,7,7,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7100000000000002,1325.56,0.0,False
baseline,1,7,7,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.562,800.0,0.0,True
baseline,1,7,8,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1078000000000003,961.0256400000003,0.0,False
baseline,1,7,8,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.9359000000000002,1704.1531599999996,0.0,False
baseline,1,7,8,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8940000000000001,1418.59,0.0,False
baseline,1,7,8,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.0118227750400002,609.9744000000001,13.698220031999998,False
baseline,1,7,8,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9613,1158.2664400000003,0.0,False
baseline,1,7,8,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6760000000000002,1216.9199999999998,0.0,False
baseline,1,7,8,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7260000000000002,1325.56,0.0,False
baseline,1,7,8,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.5780000000000001,800.0,0.0,True
baseline,1,7,9,Lusus,Kernwelt,Hegemonie,True,False,0.8384,1.1248500000000003,837.1280400000003,0.0,False
baseline,1,7,9,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.9762000000000002,1379.8953999999997,0.0,False
baseline,1,7,9,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9421000000000002,1550.39328,0.0,False
baseline,1,7,9,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.0661379530368003,649.5768,15.500362429439997,False
baseline,1,7,9,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9885,1270.9664400000004,0.0,False
baseline,1,7,9,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.6973152000000001,1317.7892080000001,0.0,False
baseline,1,7,9,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7600000000000002,1442.6499999999999,0.0,False
baseline,1,7,9,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.5958933840000001,688.4477715199996,0.855747200000003,True
baseline,1,7,10,Lusus,Kernwelt,Hegemonie,True,False,0.8226,1.1817220000000006,701.1162000000002,0.0,False
baseline,1,7,10,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.0006000000000002,1258.1525199999996,0.0,False
baseline,1,7,10,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.0061000000000002,1840.8532799999998,0.0,False
baseline,1,7,10,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.1205879167938564,711.7992000000002,14.260333435084798,False
baseline,1,7,10,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.0045,1270.9664400000004,0.0,False
baseline,1,7,10,Bressia,Grenzwelt,Hegemonie,False,True,0.63,0.7133152000000001,1317.7892080000001,0.0,False
baseline,1,7,10,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.7760000000000002,1442.6499999999999,0.0,False
baseline,1,7,10,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.6144020492800002,562.6477587199996,1.7970794240000025,True
baseline,1,7,11,Lusus,Kernwelt,Hegemonie,True,False,0.8068,1.2139220000000006,428.15268000000015,0.0,False
baseline,1,7,11,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.022804,1139.1491599999997,1.8032,False
baseline,1,7,11,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.0461000000000003,1948.3732799999998,0.0,False
baseline,1,7,11,Marsim,Industriewelt,Hegemonie,True,False,0.7498,1.153641883450348,754.5110000000005,16.983506760278015,False
baseline,1,7,11,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,1.0205,1270.9664400000004,0.0,False
baseline,1,7,11,Bressia,Grenzwelt,Hegemonie,False,True,0.61352,0.7233175000000003,1185.6104759999998,2.0028400000000053,False
baseline,1,7,11,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.8168630000000002,1573.3388799999996,0.7084000000000044,False
baseline,1,7,11,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.6522223413376003,705.6277587199996,1.6533130700800025,True
baseline,1,7,12,Lusus,Kernwelt,Hegemonie,True,False,0.7909999999999999,1.2593220000000007,487.24548000000016,0.0,False
baseline,1,7,12,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,1.04482768,1020.9857999999997,3.4621439999999994,False
baseline,1,7,12,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.0925000000000002,2159.2812799999997,0.0,False
baseline,1,7,12,Marsim,Industriewelt,Hegemonie,True,False,0.7276,1.1905435327743201,811.9838000000005,15.624826219455775,False
baseline,1,7,12,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.7834000000000001,1.0413,1033.2392400000003,0.0,False
baseline,1,7,12,Bressia,Grenzwelt,Hegemonie,False,True,0.5938399999999999,0.7391615160000002,1297.8432239999997,2.943852800000005,False
baseline,1,7,12,Hebron,Pilgerwelt,Hegemonie,False,True,0.6841999999999999,0.8409201600000002,1613.6031599999997,1.6821280000000038,False
baseline,1,7,12,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.6752454900305922,499.3379155199997,3.540632024473602,True
baseline,1,7,13,Lusus,Kernwelt,Hegemonie,True,False,0.7751999999999999,1.315922000000001,646.3718800000001,0.0,False
baseline,1,7,13,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.8231999999999999,1.0711114656,655.9573199999998,7.049172479999999,False
baseline,1,7,13,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1325000000000003,2276.7612799999997,0.0,False
baseline,1,7,13,Marsim,Industriewelt,Hegemonie,True,False,0.7054,1.2035810501523745,638.0462000000005,14.374840121899314,False
baseline,1,7,13,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.7636000000000001,1.0416999999999998,1033.2392400000003,0.0,False
baseline,1,7,13,Bressia,Grenzwelt,Hegemonie,False,True,0.5741599999999999,0.7613571307200002,1504.2432239999998,2.708344576000005,False
baseline,1,7,13,Hebron,Pilgerwelt,Hegemonie,False,True,0.6648,0.8457239472000002,1729.9330799999996,1.5475577600000037,False
baseline,1,7,13,Hyperion,Sonderwelt,Neutral,False,True,0.49999999999999994,0.6934856668281449,372.09534271999973,4.267173462515713,True
baseline,1,7,14,Lusus,Kernwelt,Hegemonie,True,False,0.7593999999999999,1.318,510.38768000000016,0.0,False
baseline,1,7,14,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.8231999999999999,1.116706548352,717.1161519999991,6.485238681599999,False
baseline,1,7,14,Maui-Covenant,Templarwelt,Templars,True,False,0.9,1.1959400000000004,2646.92328,0.0,False
baseline,1,7,14,Marsim,Industriewelt,Hegemonie,True,False,0.6832,1.2167435661401844,467.2286000000005,13.22485291214737,False
baseline,1,7,14,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.7438,1.0605371182577776,1385.0022793768921,0.0,False
baseline,1,7,14,Bressia,Grenzwelt,Hegemonie,False,True,0.5544799999999999,0.7935968962624003,1551.5713919999998,4.694157009920004,False
baseline,1,7,14,Hebron,Pilgerwelt,Hegemonie,False,True,0.6454,0.8536451914240002,1461.4543599999997,3.484553139200003,False
baseline,1,7,14,Hyperion,Sonderwelt,Neutral,False,True,0.37999999999999995,0.7287681386057158,0.0,8.697375625016704,True
baseline,1,7,15,Lusus,Kernwelt,Hegemonie,True,False,0.7243999999999998,1.3429300000000002,279.05988000000013,0.0,False
baseline,1,7,15,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.8231999999999999,1.1631180244838402,705.1307599999992,5.966419587072,False
baseline,1,7,15,Maui-Covenant,Templarwelt,Templars,True,False,0.8844000000000001,1.1994900000000004,2646.92328,0.0,False
baseline,1,7,15,Marsim,Industriewelt,Hegemonie,True,False,0.661,1.2540210808489696,522.5510000000004,12.16686467917558,False
baseline,1,7,15,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.7071999999999999,1.0779871182577776,1677.046279376892,0.0,False
baseline,1,7,15,Bressia,Grenzwelt,Hegemonie,False,True,0.5347999999999998,0.7916174805614082,1551.5713919999998,4.318624449126404,False
baseline,1,7,15,Hebron,Pilgerwelt,Hegemonie,False,True,0.609,0.8431847361100803,1326.0949999999998,4.236188888064003,False
baseline,1,7,15,Hyperion,Sonderwelt,Neutral,False,True,0.37999999999999995,0.7418984010432141,0.0,8.001585575015369,True
baseline,1,7,16,Lusus,Kernwelt,Hegemonie,True,False,0.7085999999999998,1.3566000000000003,496.59277999999995,0.0,False
baseline,1,7,16,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.8033999999999999,1.193321382525133,706.9638799999992,5.489106020106241,False
baseline,1,7,16,Maui-Covenant,Templarwelt,Templars,True,False,0.8664000000000001,1.2037900000000004,2579.6971200000003,0.0,False
baseline,1,7,16,Marsim,Industriewelt,Hegemonie,True,False,0.6388,1.267404394381052,355.3934000000004,11.193515504841534,False
baseline,1,7,16,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.6675999999999999,1.0783671182577774,1413.588679376892,3.8639999999999994,False
baseline,1,7,16,Bressia,Grenzwelt,Hegemonie,False,True,0.5151199999999998,0.8200756181164955,1892.1673919999998,3.973134493196292,False
baseline,1,7,16,Hebron,Pilgerwelt,Hegemonie,False,True,0.5710000000000001,0.8314491172212739,1196.0636399999999,4.927693777018883,False
baseline,1,7,16,Hyperion,Sonderwelt,Neutral,False,True,0.37999999999999995,0.7550982424857127,0.0,7.36145872901414,True
baseline,1,7,17,Lusus,Kernwelt,Hegemonie,True,False,0.6769999999999997,1.3334000000000001,132.8175799999999,0.0,False
baseline,1,7,17,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.7827999999999999,1.2171824719231223,833.5642279999992,5.049977538497742,False
baseline,1,7,17,Maui-Covenant,Templarwelt,Templars,True,False,0.8484,1.2325400000000002,2630.50752,0.0,False
baseline,1,7,17,Marsim,Industriewelt,Hegemonie,True,False,0.6166,1.3048850428305678,412.15580000000034,10.29803426445421,False
baseline,1,7,17,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.6477999999999998,1.1043807182577774,1734.658679376892,3.55488,False
baseline,1,7,17,Bressia,Grenzwelt,Hegemonie,False,True,0.4954399999999998,0.8395992046671759,1769.5774439999998,6.959003733740589,False
baseline,1,7,17,Hebron,Pilgerwelt,Hegemonie,False,True,0.5330000000000001,0.819644347843572,1061.28028,5.563878274857371,False
baseline,1,7,17,Hyperion,Sonderwelt,Neutral,False,True,0.3640399999999999,0.7556420966128112,0.0,6.772542030693009,True
baseline,1,7,18,Lusus,Kernwelt,Hegemonie,True,False,0.6611999999999997,1.322,78.17997999999989,0.0,False
baseline,1,7,18,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.7622,1.2686271741692725,499.3047439999991,11.27273933541792,False
baseline,1,7,18,Maui-Covenant,Templarwelt,Templars,True,False,0.8304,1.26129,2718.0879200000004,0.0,False
baseline,1,7,18,Marsim,Industriewelt,Hegemonie,True,False,0.5944,1.3149701965735547,244.63820000000032,9.474191523297874,False
baseline,1,7,18,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.6279999999999998,1.1024252302577773,1734.658679376892,3.2704896,False
baseline,1,7,18,Bressia,Grenzwelt,Hegemonie,False,True,0.47575999999999985,0.8728036042938018,2030.821728,7.503523435041342,False
baseline,1,7,18,Hebron,Pilgerwelt,Hegemonie,False,True,0.49500000000000016,0.8317759600160862,1161.7449199999999,6.149168012868781,False
baseline,1,7,18,Hyperion,Sonderwelt,Neutral,False,True,0.3306799999999999,0.742444842409742,0.0,6.230738668237568,True
baseline,1,7,19,Lusus,Kernwelt,Hegemonie,True,False,0.6295999999999996,1.308579428587771,0.0,0.0,False
baseline,1,7,19,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.7622,1.3116288602357307,495.4868591999991,10.370920188584487,False
baseline,1,7,19,Maui-Covenant,Templarwelt,Templars,True,False,0.8124,1.29363104,2790.8874752,0.0,False
baseline,1,7,19,Marsim,Industriewelt,Hegemonie,True,False,0.5722,1.3498731522598992,320.0026056000002,8.716256201434044,False
baseline,1,7,19,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.5907999999999998,1.1176581812977773,1647.151079376892,3.008850432,False
baseline,1,7,19,Bressia,Grenzwelt,Hegemonie,False,True,0.4560799999999999,0.8769432519502975,2151.797728,6.903241560238035,False
baseline,1,7,19,Hebron,Pilgerwelt,Hegemonie,False,True,0.45700000000000013,0.8198490432147993,1029.63356,6.687634571839278,False
baseline,1,7,19,Hyperion,Sonderwelt,Neutral,False,True,0.2944399999999999,0.7271417685429182,0.0,5.732279574778563,True
baseline,1,7,20,Lusus,Kernwelt,Hegemonie,True,False,0.587852952391847,1.309398472559143,1.4210854715202004e-14,1.413135942764915,False
baseline,1,7,20,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.7622,1.3287029079811417,506.52489119999916,9.541246573497729,False
baseline,1,7,20,Maui-Covenant,Templarwelt,Templars,True,False,0.7944,1.3123317103225134,2590.1942752,2.450864057235085,False
baseline,1,7,20,Marsim,Industriewelt,Hegemonie,True,False,0.5545470476081528,1.3571283743798568,259.6084056000002,8.018955705319321,False
baseline,1,7,20,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.5709999999999997,1.1257572962545772,1766.106079376892,2.76814239744,False
baseline,1,7,20,Bressia,Grenzwelt,Hegemonie,False,True,0.4363999999999999,0.9151635277942738,2326.8300959999997,8.553462235418992,False
baseline,1,7,20,Hebron,Pilgerwelt,Hegemonie,False,True,0.4190000000000001,0.8078682797576154,894.0502,7.1830238060921365,False
baseline,1,7,20,Hyperion,Sonderwelt,Neutral,False,True,0.2,0.6991884599321072,0.0,5.2736972087962775,True
baseline,2,8,1,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.916,1600.0,0.0,False
baseline,2,8,1,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.736,1400.0,0.0,False
baseline,2,8,1,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.716,1000.0,0.0,False
baseline,2,8,1,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.796,1500.0,0.0,False
baseline,2,8,1,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.846,1200.0,0.0,False
baseline,2,8,1,Bressia,Grenzwelt,Hegemonie,False,True,0.51,0.516,900.0,0.0,False
baseline,2,8,1,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5660000000000001,1000.0,0.0,False
baseline,2,8,1,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.466,800.0,0.0,True
baseline,2,8,2,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.932,1600.0,0.0,False
baseline,2,8,2,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.752,1400.0,0.0,False
baseline,2,8,2,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.732,1000.0,0.0,False
baseline,2,8,2,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.812,1500.0,0.0,False
baseline,2,8,2,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.862,1200.0,0.0,False
baseline,2,8,2,Bressia,Grenzwelt,Hegemonie,False,True,0.51,0.532,900.0,0.0,False
baseline,2,8,2,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5820000000000001,1000.0,0.0,False
baseline,2,8,2,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.48200000000000004,800.0,0.0,True
baseline,2,8,3,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9480000000000001,1600.0,0.0,False
baseline,2,8,3,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.768,1400.0,0.0,False
baseline,2,8,3,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.748,1000.0,0.0,False
baseline,2,8,3,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8280000000000001,1500.0,0.0,False
baseline,2,8,3,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.878,1200.0,0.0,False
baseline,2,8,3,Bressia,Grenzwelt,Hegemonie,False,True,0.51,0.548,900.0,0.0,False
baseline,2,8,3,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.5980000000000001,1000.0,0.0,False
baseline,2,8,3,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.49800000000000005,800.0,0.0,True
baseline,2,8,4,Lusus,Kernwelt,Hegemonie,True,False,0.86,0.9909000000000001,1604.16472,0.0,False
baseline,2,8,4,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8012,1485.0539999999999,0.0,False
baseline,2,8,4,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.764,1000.0,0.0,False
baseline,2,8,4,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8545,1403.2964,0.0,False
baseline,2,8,4,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.894,1200.0,0.0,False
baseline,2,8,4,Bressia,Grenzwelt,Hegemonie,False,True,0.39,0.5640000000000001,900.0,0.0,False
baseline,2,8,4,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6140000000000001,1000.0,0.0,False
baseline,2,8,4,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.514,800.0,0.0,True
baseline,2,8,5,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0249000000000001,1478.8871199999999,0.0,False
baseline,2,8,5,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8172,1485.0539999999999,0.0,False
baseline,2,8,5,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.804,1119.52,0.0,False
baseline,2,8,5,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.8860800000000001,1204.1588,3.8639999999999994,False
baseline,2,8,5,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.91,1200.0,0.0,False
baseline,2,8,5,Bressia,Grenzwelt,Hegemonie,False,True,0.39,0.5800000000000001,900.0,0.0,False
baseline,2,8,5,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6300000000000001,1000.0,0.0,False
baseline,2,8,5,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.554,957.38,0.0,True
baseline,2,8,6,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.0829000000000002,1513.86952,0.0,False
baseline,2,8,6,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8572000000000001,1605.5939999999998,0.0,False
baseline,2,8,6,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8200000000000001,1119.52,0.0,False
baseline,2,8,6,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9176936000000001,1037.1212,3.55488,False
baseline,2,8,6,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.926,1200.0,0.0,False
baseline,2,8,6,Bressia,Grenzwelt,Hegemonie,False,True,0.39,0.5960000000000001,900.0,0.0,False
baseline,2,8,6,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6460000000000001,1000.0,0.0,False
baseline,2,8,6,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.5700000000000001,957.38,0.0,True
baseline,2,8,7,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1178626000000003,1317.0147600000003,3.1040799999999966,False
baseline,2,8,7,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.8732000000000001,1605.5939999999998,0.0,False
baseline,2,8,7,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.8647200000000002,1306.354,0.0,False
baseline,2,8,7,Marsim,Industriewelt,Hegemonie,True,False,0.77,0.9537381120000001,908.3835999999999,3.2704896,False
baseline,2,8,7,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9420000000000001,1200.0,0.0,False
baseline,2,8,7,Bressia,Grenzwelt,Hegemonie,False,True,0.39,0.6120000000000001,900.0,0.0,False
baseline,2,8,7,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6620000000000001,1000.0,0.0,False
baseline,2,8,7,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.60528,1054.6475999999998,0.0,True
baseline,2,8,8,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1699521920000002,1171.3424400000006,2.8557535999999972,False
baseline,2,8,8,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.9032530000000001,1381.3701599999995,1.3523999999999963,False
baseline,2,8,8,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9047200000000002,1434.034,0.0,False
baseline,2,8,8,Marsim,Industriewelt,Hegemonie,True,False,0.77,1.0006110630400002,879.8220000000002,3.008850432,False
baseline,2,8,8,Qom-Riyadh,Datenwelt,TechnoCore,True,False,0.8,0.9820000000000001,1363.86,0.0,False
baseline,2,8,8,Bressia,Grenzwelt,Hegemonie,False,True,0.39,0.6280000000000001,900.0,0.0,False
baseline,2,8,8,Hebron,Pilgerwelt,Hegemonie,False,True,0.7,0.6864000000000001,1074.5499999999997,0.0,False
baseline,2,8,8,Hyperion,Sonderwelt,Neutral,False,True,0.58,0.62128,1054.6475999999998,0.0,True
baseline,2,8,9,Lusus,Kernwelt,Hegemonie,True,False,0.86,1.1932666166400003,1054.2877200000005,2.6272933119999977,False
baseline,2,8,9,Tau Ceti,Agrarwelt,Hegemonie,True,False,0.84,0.93391776,1161.8803999999993,1.2442079999999966,False
baseline,2,8,9,Maui-Covenant,Templarwelt,Templars,True,False,0.9,0.9559200000000002,1670.3940000000002,0.0,False
