scenario,run,seed,year,events,event_count,core_signal,ouster_threat,templar_access,trade_volume,trade_value
baseline,2,8,11,keine,0,1.064,1.0,0.0,28.064800000000005,1291.4026380800005
baseline,2,8,12,Aufstand in der Peripherie (Hebron),1,1.064,1.0,0.0,28.268000000000008,1207.8141728000005
baseline,2,8,13,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,26.6036,1088.4655505599999
baseline,2,8,14,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,24.6736,1089.57376256
baseline,2,8,15,keine,0,1.064,1.0,0.0,29.073599999999995,1385.7756665599995
baseline,2,8,16,keine,0,1.064,1.0,0.0,25.33,1012.2443679999999
baseline,2,8,17,keine,0,1.064,1.0,0.0,28.246,1209.7780816
baseline,2,8,18,keine,0,1.064,1.0,0.0,25.11,946.4690559999999
baseline,2,8,19,Core-Prognosefehler erhöht Volatilität,1,1.208,1.0,0.0,25.11,904.869832
baseline,2,8,20,Pilgerströme Richtung Hyperion,1,1.208,1.0,0.0,30.11,1249.986532
baseline,3,9,1,keine,0,1.064,1.0,0.0,0.0,0.0
baseline,3,9,2,keine,0,1.064,1.0,0.0,0.0,0.0
baseline,3,9,3,Ouster-Raid auf Grenzwelt (Hyperion),1,1.064,1.0,0.0,0.0,0.0
baseline,3,9,4,Pilgerströme Richtung Hyperion,1,1.064,1.0,0.0,7.799999999999997,192.93387999999993
baseline,3,9,5,keine,0,1.064,1.0,0.0,12.0,298.6152
baseline,3,9,6,keine,0,1.064,1.0,0.0,12.0,300.23519999999996
baseline,3,9,7,keine,0,1.064,1.0,0.0,13.099999999999994,364.60975999999977
baseline,3,9,8,keine,0,1.064,1.0,0.0,20.700000000000006,677.5877200000002
baseline,3,9,9,keine,0,1.064,1.0,0.0,22.128800000000002,804.5229084800001
baseline,3,9,10,keine,0,1.064,1.0,0.0,22.368,811.5808528
baseline,3,9,11,keine,0,1.064,1.0,0.0,20.8,658.04768
baseline,3,9,12,keine,0,1.064,1.0,0.0,26.636000000000006,1175.0775456000006
baseline,3,9,13,Politische Sanktionen gegen Hegemonie-Welt (Lusus),1,1.064,1.0,0.0,27.168,1106.2352127999998
baseline,3,9,14,keine,0,1.064,1.0,0.0,23.968,967.5008128
baseline,3,9,15,keine,0,1.064,1.0,0.0,24.905782558087612,874.7342275200001
baseline,3,9,16,keine,0,1.064,1.0,0.0,27.65,1160.9434399999998
baseline,3,9,17,keine,0,1.064,1.0,0.0,30.398217441912387,1347.6076603450133
baseline,3,9,18,keine,0,1.064,1.0,0.0,25.938000000000006,1107.9757648000002
baseline,3,9,19,Weltenbaum-Sonderroute verfügbar,1,1.064,1.0,0.9,26.079823535215464,1023.7846678433526
baseline,3,9,20,Farcaster-Störung trifft Kernwelten,1,1.064,1.0,0.0,23.59999999999999,1028.2145599999994
